T Â°C,T K,1/T,A_1_520,A_1_700,A_2_520,A_2_700,A
25,298,0.003355704697987,0.299,0.157,0.248,0.14,0.034
30,303,0.003300330033003,0.304,0.155,0.246,0.138,0.041
35,308,0.003246753246753,0.311,0.155,0.246,0.137,0.047
40,313,0.003194888178914,0.321,0.155,0.245,0.136,0.057
45,318,0.00314465408805,0.334,0.155,0.245,0.136,0.07
50,323,0.003095975232198,0.352,0.155,0.244,0.135,0.088
55,328,0.003048780487805,0.375,0.156,0.243,0.134,0.11
60,333,0.003003003003003,0.405,0.157,0.243,0.134,0.139
65,338,0.002958579881657,0.443,0.158,0.242,0.133,0.176
70,343,0.002915451895044,0.501,0.161,0.242,0.133,0.231
75,348,0.002873563218391,0.566,0.164,0.241,0.132,0.293
80,353,0.002832861189802,0.648,0.168,0.241,0.132,0.371
